"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: config","Param: len"
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","thrpt",1,50,"348,529316","1,972027","ops/ms",,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","thrpt",1,50,"277,233326","1,425334","ops/ms",,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","thrpt",1,50,"184,603063","0,844138","ops/ms",,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","thrpt",1,50,"113,506886","1,940918","ops/ms",,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","thrpt",1,50,"100,356021","0,329301","ops/ms",,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","thrpt",1,50,"79,399668","0,263412","ops/ms",,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","thrpt",1,50,"71,365798","0,223495","ops/ms",,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","thrpt",1,50,"58,932744","0,206168","ops/ms",,6000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"63,285058","1,767047","ops/ms",cache-config-apache-deflater.xml,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"44,396911","0,785490","ops/ms",cache-config-apache-deflater.xml,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"32,780222","0,444891","ops/ms",cache-config-apache-deflater.xml,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"20,768427","0,165778","ops/ms",cache-config-apache-deflater.xml,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"13,599602","0,074617","ops/ms",cache-config-apache-deflater.xml,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"9,412896","0,057171","ops/ms",cache-config-apache-deflater.xml,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"7,393119","0,031381","ops/ms",cache-config-apache-deflater.xml,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"6,002192","0,025267","ops/ms",cache-config-apache-deflater.xml,6000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"61,701637","1,778073","ops/ms",cache-config-gzip.xml,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"46,473170","0,933514","ops/ms",cache-config-gzip.xml,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"36,182173","0,396608","ops/ms",cache-config-gzip.xml,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"22,276745","0,213495","ops/ms",cache-config-gzip.xml,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"14,274422","0,100245","ops/ms",cache-config-gzip.xml,3000
